date,close_spy,close_gspc,vix,rate_10y
1996-11-23,45.45695495605469,748.72998046875,14.92,6.15
1996-11-24,45.45695495605469,748.72998046875,14.92,6.15
1996-11-25,46.0333137512207,757.030029296875,15.91,6.13
1996-11-26,45.88214492797851,755.9600219726562,16.97,6.13
1996-11-27,45.79710006713867,755.0,16.96,6.14
1996-11-28,45.79710006713867,755.0,16.96,6.14
1996-11-29,45.967166900634766,757.02001953125,17.14,6.06
1996-11-30,45.967166900634766,757.02001953125,17.14,6.06
1996-12-01,45.967166900634766,757.02001953125,17.14,6.06
1996-12-02,45.9860725402832,756.5599975585938,17.93,6.08
1996-12-03,45.20182800292969,748.280029296875,18.68,6.06
1996-12-04,45.324684143066406,745.0999755859375,17.93,6.11
1996-12-05,45.20182800292969,744.3800048828125,18.14,6.22
1996-12-06,44.93726348876953,739.5999755859375,18.82,6.26
1996-12-07,44.93726348876953,739.5999755859375,18.82,6.26
1996-12-08,44.93726348876953,739.5999755859375,18.82,6.26
1996-12-09,45.598663330078125,749.760009765625,17.75,6.21
1996-12-10,45.3813591003418,747.5399780273438,17.88,6.23
1996-12-11,44.96562576293945,740.72998046875,19.68,6.38
1996-12-12,44.21919631958008,729.2999877929688,20.45,6.4
1996-12-13,44.332576751708984,728.6400146484375,21.09,6.33
1996-12-14,44.332576751708984,728.6400146484375,21.09,6.33
1996-12-15,44.332576751708984,728.6400146484375,21.09,6.33
1996-12-16,43.76567077636719,720.97998046875,21.99,6.39
1996-12-17,44.11524200439453,726.0399780273438,20.77,6.42
1996-12-18,44.46484375,731.5399780273438,19.42,6.46
1996-12-19,45.3813591003418,745.760009765625,18.77,6.36
1996-12-20,45.48092269897461,748.8699951171875,18.85,6.35
1996-12-21,45.48092269897461,748.8699951171875,18.85,6.35
1996-12-22,45.48092269897461,748.8699951171875,18.85,6.35
1996-12-23,45.36699676513672,746.9199829101562,19.5,6.34
1996-12-24,45.69931411743164,751.030029296875,18.68,6.36
1996-12-25,45.69931411743164,751.030029296875,18.68,6.36
1996-12-26,46.050655364990234,755.8200073242188,18.59,6.35
1996-12-27,46.10762405395508,756.7899780273438,19.13,6.3
1996-12-28,46.10762405395508,756.7899780273438,19.13,6.3
1996-12-29,46.10762405395508,756.7899780273438,19.13,6.3
1996-12-30,45.70884323120117,753.8499755859375,19.51,6.31
1996-12-31,44.87324905395508,740.739990234375,20.92,6.43
1997-01-01,44.87324905395508,740.739990234375,20.92,6.43
1997-01-02,44.9871940612793,737.010009765625,21.14,6.54
1997-01-03,45.632843017578125,748.030029296875,19.13,6.52
1997-01-04,45.632843017578125,748.030029296875,19.13,6.52
1997-01-05,45.632843017578125,748.030029296875,19.13,6.52
1997-01-06,45.23406982421875,747.6500244140625,19.89,6.54
1997-01-07,45.78477478027344,753.22998046875,19.35,6.57
1997-01-08,45.38597869873047,748.4099731445312,20.24,6.6
1997-01-09,45.76579666137695,754.8499755859375,20.91,6.52
1997-01-10,46.25951385498047,759.5,19.63,6.63
1997-01-11,46.25951385498047,759.5,19.63,6.63
1997-01-12,46.25951385498047,759.5,19.63,6.63
1997-01-13,46.19306945800781,759.510009765625,19.84,6.63
1997-01-14,46.77226257324219,768.8599853515625,19.27,6.53
1997-01-15,46.65831756591797,767.2000122070312,19.4,6.53
1997-01-16,46.84820938110352,769.75,19.61,6.57
1997-01-17,47.13307571411133,776.1699829101562,18.63,6.56
1997-01-18,47.13307571411133,776.1699829101562,18.63,6.56
1997-01-19,47.13307571411133,776.1699829101562,18.63,6.56
1997-01-20,47.1900520324707,776.7000122070312,18.6,6.56
1997-01-21,47.569828033447266,782.719970703125,17.81,6.52
1997-01-22,47.911643981933594,786.22998046875,17.09,6.56
1997-01-23,47.246978759765625,777.5599975585938,18.47,6.6
1997-01-24,46.63932800292969,770.52001953125,19.33,6.64
1997-01-25,46.63932800292969,770.52001953125,19.33,6.64
1997-01-26,46.63932800292969,770.52001953125,19.33,6.64
1997-01-27,46.50640106201172,765.02001953125,20.16,6.69
1997-01-28,46.63932800292969,765.02001953125,20.74,6.64
1997-01-29,47.09507369995117,772.5,20.23,6.63
1997-01-30,47.70277786254883,784.1699829101562,19.47,6.61
1997-01-31,47.64581298828125,786.1599731445312,19.47,6.53
1997-02-01,47.64581298828125,786.1599731445312,19.47,6.53
1997-02-02,47.64581298828125,786.1599731445312,19.47,6.53
1997-02-03,47.788230895996094,786.72998046875,19.58,6.47
1997-02-04,48.08256149291992,789.260009765625,19.43,6.45
1997-02-05,47.18052673339844,778.280029296875,21.06,6.47
1997-02-06,47.49386215209961,780.1500244140625,20.16,6.49
1997-02-07,48.13954544067383,789.5599975585938,18.9,6.43
1997-02-08,48.13954544067383,789.5599975585938,18.9,6.43
1997-02-09,48.13954544067383,789.5599975585938,18.9,6.43
1997-02-10,47.68376922607422,785.4299926757812,20.65,6.43
1997-02-11,48.23448944091797,789.5900268554688,19.97,6.43
1997-02-12,48.918121337890625,802.77001953125,19.48,6.39
1997-02-13,49.44982147216797,811.8200073242188,19.23,6.32
1997-02-14,49.335906982421875,808.47998046875,19.18,6.28
1997-02-15,49.335906982421875,808.47998046875,19.18,6.28
1997-02-16,49.335906982421875,808.47998046875,19.18,6.28
1997-02-17,49.335906982421875,808.47998046875,19.18,6.28
1997-02-18,49.753692626953125,816.2899780273438,19.7,6.28
1997-02-19,49.421329498291016,812.489990234375,20.61,6.3
1997-02-20,48.82317352294922,802.7999877929688,21.41,6.38
1997-02-21,48.8421516418457,801.77001953125,20.55,6.36
1997-02-22,48.8421516418457,801.77001953125,20.55,6.36
1997-02-23,48.8421516418457,801.77001953125,20.55,6.36
1997-02-24,49.421329498291016,810.280029296875,19.84,6.39
1997-02-25,49.45934295654297,812.030029296875,19.98,6.4
1997-02-26,48.97510528564453,805.6799926757812,20.74,6.56
1997-02-27,48.24397277832031,795.0700073242188,21.08,6.58
1997-02-28,48.10155487060547,790.8200073242188,21.1,6.56
1997-03-01,48.10155487060547,790.8200073242188,21.1,6.56
1997-03-02,48.10155487060547,790.8200073242188,21.1,6.56
1997-03-03,48.42440032958984,795.3099975585938,20.89,6.58
1997-03-04,48.15851211547851,790.9500122070312,20.62,6.6
1997-03-05,48.97510528564453,801.989990234375,19.49,6.6
1997-03-06,48.69026947021485,798.5599975585938,20.48,6.62
1997-03-07,49.12700271606445,804.969970703125,19.32,6.57
1997-03-08,49.12700271606445,804.969970703125,19.32,6.57
1997-03-09,49.12700271606445,804.969970703125,19.32,6.57
1997-03-10,49.63974380493164,813.6500244140625,19.0,6.56
1997-03-11,49.37387466430664,811.3400268554688,19.25,6.57
1997-03-12,48.93711471557617,804.260009765625,19.61,6.6
1997-03-13,48.17752456665039,789.5599975585938,19.79,6.72
1997-03-14,48.42440032958984,793.1699829101562,19.81,6.71
1997-03-15,48.42440032958984,793.1699829101562,19.81,6.71
1997-03-16,48.42440032958984,793.1699829101562,19.81,6.71
1997-03-17,48.55730819702149,795.7100219726562,20.95,6.72
1997-03-18,48.03506851196289,789.6599731445312,21.26,6.72
1997-03-19,47.873687744140625,785.77001953125,21.74,6.74
1997-03-20,47.62679672241211,782.6500244140625,21.22,6.75
1997-03-21,47.847312927246094,784.0999755859375,19.69,6.74
1997-03-22,47.847312927246094,784.0999755859375,19.69,6.74
1997-03-23,47.847312927246094,784.0999755859375,19.69,6.74
1997-03-24,48.514522552490234,790.8900146484375,20.06,6.72
1997-03-25,48.0379638671875,789.0700073242188,19.26,6.75
1997-03-26,48.24763870239258,790.5,18.32,6.8
1997-03-27,46.970428466796875,773.8800048828125,20.5,6.9
1997-03-28,46.970428466796875,773.8800048828125,20.5,6.9
1997-03-29,46.970428466796875,773.8800048828125,20.5,6.9
1997-03-30,46.970428466796875,773.8800048828125,20.5,6.9
1997-03-31,45.97917938232422,757.1199951171875,22.14,6.92
1997-04-01,46.27465057373047,759.6400146484375,20.84,6.9
1997-04-02,45.44541931152344,750.1099853515625,21.3,6.88
